condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,next_study.keys,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,key_instr_test.keys,key_instr_test.rt,duration,yes_or_no.x,yes_or_no.y,yes_or_no.leftButton,yes_or_no.midButton,yes_or_no.rightButton,yes_or_no.time,yes_or_no.clicked_name,test_response.stim,test_response.resp,test_response.eval,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instr_movie_key.keys,instr_movie_key.rt,return_to_exp.keys,return_to_exp.rt,instr_assess_key.keys,instr_assess_key.rt,assess_loop.thisRepN,assess_loop.thisTrialN,assess_loop.thisN,assess_loop.thisIndex,assess_loop.ran,ans_gen_loop.thisRepN,ans_gen_loop.thisTrialN,ans_gen_loop.thisN,ans_gen_loop.thisIndex,ans_gen_loop.ran,sen,ans,instr_transfer_key.keys,instr_transfer_key.rt,transfer_response.resp,transfer_response.eval,select_word.x,select_word.y,select_word.leftButton,select_word.midButton,select_word.rightButton,select_word.time,select_word.clicked_name,transfers.thisRepN,transfers.thisTrialN,transfers.thisN,transfers.thisIndex,transfers.ran,end_experiment.keys,end_experiment.rt
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.518782552,0.021501736,1,0,0,1.637135,test_pile,10,0,10,0,1,YEAST - HAMIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.248790148,0.110555556,1,0,0,0.6203,unsorted_card,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.500884332,0.027838542,1,0,0,1.884855,test_pile,12,0,12,0,1,BLAME - LAWAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.37937283,0.054496528,1,0,0,0.482835,unsorted_card,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.404394531,0.024869792,1,0,0,4.14585,test_pile,14,0,14,0,1,OATH - YAMINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.356499566,-0.064618056,1,0,0,0.482495,unsorted_card,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.374294705,0.005815972,1,0,0,1.688155,test_pile,16,0,16,0,1,CORN - NAFAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.297683377,0.005815972,1,0,0,0.46654,unsorted_card,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.569151476,0.024201389,1,0,0,1.670425,test_pile,18,0,18,0,1,POEM - UTENZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.189577908,0.035138889,1,0,0,0.5839,unsorted_card,19,0,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.45163303,0.013368056,1,0,0,1.17023,test_pile,20,0,20,0,1,TAILOR - MSHONI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.38899197,0.046805556,1,0,0,5.2822,unsorted_card,21,0,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.476448568,-0.095338542,1,0,0,2.23764,test_pile,22,0,22,0,1,CHEESE - JIBINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.298990885,-0.024357639,1,0,0,0.567375,unsorted_card,23,0,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.466796875,0.025928819,1,0,0,3.009325,test_pile,24,0,24,0,1,GRAPES - ZABIBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.225124783,-0.252734375,1,0,0,0.583385,unsorted_card,25,0,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.445117188,0.054166667,1,0,0,1.68901,test_pile,26,0,26,0,1,GRAVE - KABURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.251231554,-0.033862847,1,0,0,0.51604,unsorted_card,27,0,27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.45875651,-0.019053819,1,0,0,2.47293,test_pile,28,0,28,0,1,MANURE - SAMADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.270334201,-0.059053819,1,0,0,0.486895,unsorted_card,29,0,29,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.40227322,0.005755208,1,0,0,1.44948,test_pile,30,0,30,0,1,AGENT - WAKILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.279513889,-0.151987847,1,0,0,0.518,unsorted_card,31,0,31,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.478851997,0.075078125,1,0,0,2.105915,test_pile,32,0,32,0,1,BRIBE - RUSHWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.307736545,0.002178819,1,0,0,0.482725,unsorted_card,33,0,33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.456418186,0.065572917,1,0,0,1.688935,test_pile,34,0,34,0,1,ORPHAN - YATIMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.290196398,0.000234375,1,0,0,0.466455,unsorted_card,35,0,35,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.458409288,0.011467014,1,0,0,1.188385,test_pile,36,0,36,0,1,DIVORCE - TALAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.342306858,0.081805556,1,0,0,0.714885,unsorted_card,37,0,37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.448171658,0.036345486,1,0,0,1.301795,test_pile,38,0,38,0,1,BOAT - MASHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.218240017,0.141449653,1,0,0,0.451005,unsorted_card,39,0,39,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.441503906,-0.063229167,1,0,0,1.15205,test_pile,40,0,40,0,1,TREASURE - DAFINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.47839,11.751315,0.441503906,-0.063229167,1,0,0,0.952345,yes,GRAVE,KATBIRU,incorrect,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.380255,0.526942274,-0.130815972,1,0,0,1.16997,yes,POEM,UTENZI,incorrect,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61165,0.477381727,-0.094166667,1,0,0,1.75394,yes,BRIBE,RUSHWAS,incorrect,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1575701,2020-10-20_20h19.03.131,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04126,0.478238932,-0.097769097,1,0,0,0.819175,yes,YEAST,HAMIRA,incorrect,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
