condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,key_instr_test.keys,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran,instr_movie_key.keys,instr_movie_key.rt,return_to_exp.keys,return_to_exp.rt,instr_assess_key.keys,instr_assess_key.rt,test_response.resp,test_response.eval,duration,assess_loop.thisRepN,assess_loop.thisTrialN,assess_loop.thisN,assess_loop.thisIndex,assess_loop.ran
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.498220486,-0.505295139,1,0,0,0.81506,done_pile,15,0,15,0,1,OATH - YAMINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.456434462,-0.089947917,1,0,0,0.665435,unsorted_card,16,0,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.421880425,-0.558567708,1,0,0,0.69935,done_pile,17,0,17,0,1,CORN - NAFAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.080674913,-0.1925,1,0,0,0.51334,unsorted_card,18,0,18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.509803602,-0.445772569,1,0,0,0.549475,done_pile,19,0,19,0,1,POEM - UTENZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.341834852,-0.201875,1,0,0,0.431335,unsorted_card,20,0,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.475200738,-0.525911458,1,0,0,0.462795,done_pile,21,0,21,0,1,TAILOR - MSHONI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.400759549,0.134071181,1,0,0,0.414155,unsorted_card,22,0,22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.62772895,-0.413854167,1,0,0,0.48171,done_pile,23,0,23,0,1,CHEESE - JIBINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.250726997,0.078055556,1,0,0,0.481115,unsorted_card,24,0,24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.337879774,-0.458975694,1,0,0,0.59905,done_pile,25,0,25,0,1,GRAPES - ZABIBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.149392361,-0.067196181,1,0,0,0.463425,unsorted_card,26,0,26,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.319249132,-0.438619792,1,0,0,0.63045,done_pile,27,0,27,0,1,GRAVE - KABURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
