condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,next_study.keys,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.41148546,-0.145607639,1,0,0,0.38045,unsorted_card,8,0,8,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.469574653,-0.420616319,1,0,0,0.57976,done_pile,9,0,9,0,1,YEAST - HAMIRA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.417041016,-0.078411458,1,0,0,0.4485,unsorted_card,10,0,10,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.488867188,-0.554947917,1,0,0,0.482225,done_pile,11,0,11,0,1,BLAME - LAWAMA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.340196398,-0.122612847,1,0,0,0.39634,unsorted_card,12,0,12,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.473621962,-0.507300347,1,0,0,0.44682,done_pile,13,0,13,0,1,OATH - YAMINI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.379893663,-0.089444444,1,0,0,0.431145,unsorted_card,14,0,14,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.446278212,-0.593706597,1,0,0,0.482325,done_pile,15,0,15,0,1,CORN - NAFAKA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.384667969,-0.063168403,1,0,0,0.445865,unsorted_card,16,0,16,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.287082248,-0.484348958,1,0,0,0.498405,test_pile,17,0,17,0,1,POEM - UTENZI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.209554036,-0.182960069,1,0,0,0.48236,unsorted_card,18,0,18,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.50741645,-0.560798611,1,0,0,0.464225,done_pile,19,0,19,0,1,TAILOR - MSHONI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.261664497,-0.102569444,1,0,0,0.560685,unsorted_card,20,0,20,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.521185981,-0.094713542,1,0,0,0.497355,test_pile,21,0,21,0,1,CHEESE - JIBINI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.295958116,0.083567708,1,0,0,0.548645,unsorted_card,22,0,22,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.445757378,-0.451779514,1,0,0,0.58145,done_pile,23,0,23,0,1,GRAPES - ZABIBU,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.296609158,-0.071875,1,0,0,0.51259,unsorted_card,24,0,24,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.388856337,-0.039505208,1,0,0,0.43088,test_pile,25,0,25,0,1,GRAVE - KABURI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.212494575,-0.064973958,1,0,0,0.449985,unsorted_card,26,0,26,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.496305339,-0.535642361,1,0,0,0.447035,done_pile,27,0,27,0,1,MANURE - SAMADI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.183566623,-0.059513889,1,0,0,0.428745,unsorted_card,28,0,28,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.442795139,-0.073402778,1,0,0,0.431465,test_pile,29,0,29,0,1,AGENT - WAKILI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.268505859,-0.186432292,1,0,0,0.41564,unsorted_card,30,0,30,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.475797526,-0.5425,1,0,0,0.430955,done_pile,31,0,31,0,1,BRIBE - RUSHWA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.046880425,0.148637153,1,0,0,0.447355,unsorted_card,32,0,32,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.340033637,-0.002456597,1,0,0,0.464535,test_pile,33,0,33,0,1,ORPHAN - YATIMA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.256190321,0.000868056,1,0,0,0.46043,unsorted_card,34,0,34,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.385449219,-0.460711806,1,0,0,0.598695,done_pile,35,0,35,0,1,DIVORCE - TALAKA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.186360677,-0.215112847,1,0,0,0.480695,unsorted_card,36,0,36,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.502115885,-0.128854167,1,0,0,0.46455,test_pile,37,0,37,0,1,BOAT - MASHUA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.101497396,-0.157352431,1,0,0,0.46536,unsorted_card,38,0,38,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.439257813,-0.505373264,1,0,0,0.497745,done_pile,39,0,39,0,1,TREASURE - DAFINA,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
